timestamp,open,high,low,close,volume,RSI,symbol,fundingRate,markPrice
2025-04-16 15:30,124.87,126.16,124.46,125.82,"115,437.54",,,,
2025-04-16 15:45,125.83,125.91,124.50,124.65,"88,225.71",,,,
2025-04-16 16:00,124.65,125.80,124.62,125.41,"70,839.76",,,,
2025-04-16 16:15,125.42,126.78,125.10,126.61,"71,630.70",,,,
2025-04-16 16:30,126.61,127.86,126.61,127.63,"94,344.52",,,,
2025-04-16 16:45,127.63,128.15,127.27,127.83,"81,088.75",,,,
2025-04-16 17:00,127.83,128.65,127.77,128.05,"210,897.24",,,,
2025-04-16 17:15,128.04,129.60,127.75,129.15,"164,902.90",,,,
2025-04-16 17:30,129.15,129.35,128.38,128.71,"62,884.37",,,,
2025-04-16 17:45,128.71,128.85,128.19,128.39,"38,485.16",,,,
2025-04-16 18:00,128.40,129.09,128.26,128.67,"39,212.75",,SOLUSDT,-0.00,128.32305439
2025-04-16 18:15,128.67,128.92,127.81,128.27,"41,750.17",,,,
2025-04-16 18:30,128.28,128.63,126.94,127.61,"61,493.41",,,,
2025-04-16 18:45,127.62,129.33,127.41,128.82,"70,179.42",65.82,,,
2025-04-16 19:00,128.82,129.63,128.72,129.16,"46,773.27",67.85,,,
2025-04-16 19:15,129.16,130.93,129.16,130.32,"83,556.00",73.61,,,
2025-04-16 19:30,130.31,130.76,126.76,127.16,"192,175.42",48.24,,,
2025-04-16 19:45,127.16,127.18,124.86,125.15,"200,969.00",39.03,,,
2025-04-16 20:00,125.16,128.12,125.09,127.70,"205,886.34",51.65,,,
2025-04-16 20:15,127.70,128.84,126.20,128.43,"98,543.80",54.55,,,
2025-04-16 20:30,128.43,128.52,126.77,127.20,"97,342.74",49.19,,,
2025-04-16 20:45,127.20,128.84,127.18,128.61,"71,333.66",54.68,,,
2025-04-16 21:00,128.60,129.84,128.56,129.65,"130,255.67",58.27,,,
2025-04-16 21:15,129.66,130.04,128.77,129.25,"127,145.44",56.42,,,
2025-04-16 21:30,129.26,130.70,129.07,130.52,"80,100.96",60.68,,,
2025-04-16 21:45,130.53,133.91,130.46,132.45,"301,012.42",66.11,,,
2025-04-16 22:00,132.45,133.11,132.30,133.03,"106,458.46",67.56,,,
2025-04-16 22:15,133.03,133.71,132.73,133.32,"64,522.57",68.29,,,
2025-04-16 22:30,133.33,133.65,132.26,132.27,"62,807.11",62.78,,,
2025-04-16 22:45,132.28,132.72,131.47,131.65,"65,185.67",59.71,,,
2025-04-16 23:00,131.66,132.53,131.54,132.46,"87,334.42",62.30,,,
2025-04-16 23:15,132.46,133.28,132.29,132.90,"43,429.29",63.67,,,
2025-04-16 23:30,132.89,133.01,132.20,132.57,"36,807.93",61.86,,,
2025-04-16 23:45,132.57,133.44,132.46,132.97,"38,357.59",63.22,,,
2025-04-17 00:00,132.98,133.13,132.36,132.37,"34,714.58",59.77,,,
2025-04-17 00:15,132.36,132.49,131.99,132.05,"18,522.13",57.95,,,
2025-04-17 00:30,132.05,132.51,131.98,132.47,"14,706.28",59.68,,,
2025-04-17 00:45,132.47,132.47,132.06,132.12,"12,543.94",57.55,,,
2025-04-17 01:00,132.12,132.31,131.70,131.92,"22,952.79",56.32,,,
2025-04-17 01:15,131.92,131.93,131.51,131.55,"19,606.97",54.01,,,
2025-04-17 01:30,131.55,131.58,130.79,130.92,"38,747.97",50.23,,,
2025-04-17 01:45,130.92,131.69,130.78,131.33,"51,366.78",52.55,,,
2025-04-17 02:00,131.33,131.68,130.75,131.24,"72,910.59",51.98,SOLUSDT,0.00,131.29000000
2025-04-17 02:15,131.25,131.60,130.78,131.28,"36,256.75",52.23,,,
2025-04-17 02:30,131.28,131.60,130.99,131.36,"47,703.44",52.76,,,
2025-04-17 02:45,131.35,131.72,131.17,131.72,"31,069.65",55.17,,,
2025-04-17 03:00,131.71,131.83,131.22,131.75,"19,140.85",55.37,,,
2025-04-17 03:15,131.75,132.27,131.71,132.21,"31,397.50",58.49,,,
2025-04-17 03:30,132.21,132.67,131.82,131.94,"24,877.26",56.02,,,
2025-04-17 03:45,131.94,132.12,131.55,132.10,"23,331.05",57.17,,,
2025-04-17 04:00,132.10,132.20,131.18,131.34,"23,269.99",50.39,,,
2025-04-17 04:15,131.34,131.35,130.37,131.07,"46,342.10",48.20,,,
2025-04-17 04:30,131.07,131.24,130.55,130.90,"15,397.63",46.82,,,
2025-04-17 04:45,130.90,131.50,130.81,131.36,"59,138.47",50.92,,,
2025-04-17 05:00,131.35,131.77,130.79,130.96,"21,682.52",47.49,,,
2025-04-17 05:15,130.97,130.99,129.62,129.64,"43,787.80",38.34,,,
2025-04-17 05:30,129.64,129.99,129.50,129.78,"25,003.74",39.67,,,
2025-04-17 05:45,129.79,130.06,129.54,129.79,"22,028.21",39.77,,,
2025-04-17 06:00,129.79,130.04,129.62,129.95,"20,456.32",41.44,,,
2025-04-17 06:15,129.95,130.32,129.88,129.99,"21,040.46",41.87,,,
2025-04-17 06:30,129.98,130.41,129.94,130.36,"30,130.14",45.86,,,
2025-04-17 06:45,130.36,131.12,130.35,131.12,"22,108.64",53.01,,,
2025-04-17 07:00,131.11,131.75,131.03,131.75,"26,856.34",57.96,,,
2025-04-17 07:15,131.75,132.26,131.65,131.85,"38,266.70",58.70,,,
2025-04-17 07:30,131.84,133.45,131.79,133.10,"75,747.55",66.65,,,
2025-04-17 07:45,133.10,133.50,132.96,133.13,"54,362.20",66.81,,,
2025-04-17 08:00,133.13,133.80,132.83,133.03,"49,365.87",65.65,,,
2025-04-17 08:15,133.04,135.02,132.62,134.40,"103,619.56",72.68,,,
2025-04-17 08:30,134.39,135.31,133.87,134.44,"96,466.66",72.86,,,
2025-04-17 08:45,134.44,135.08,134.25,134.49,"42,101.55",73.09,,,
